Wavenumbercm-1,hexyldecanoic_acid
4001.3872542257,-0.00207695746321686
3997.65809555447,-0.00234272084185296
3993.92893688324,-0.00266496721220463
3990.19977821202,-0.00247317504563627
3986.47061954079,-0.00194112034550233
3982.74146086956,-0.00178466073363666
3979.01230219834,-0.00183909230442399
3975.28314352711,-0.00179938636832701
3971.55398485589,-0.00177998544057032
3967.82482618466,-0.00188777963619802
3964.09566751343,-0.00188599646742024
3960.36650884221,-0.00145351223441096
3956.63735017098,-0.001428236431256
3952.90819149975,-0.00223708241200959
3949.17903282853,-0.00274824858076713
3945.4498741573,-0.00265086588223911
3941.72071548608,-0.00231505681612072
3937.99155681485,-0.00176831027548787
3934.26239814362,-0.00164610036178749
3930.5332394724,-0.00214583427498274
3926.80408080117,-0.00233478760008319
3923.07492212994,-0.0022330193338611
3919.34576345872,-0.00219649887758677
3915.61660478749,-0.0020195734104874
3911.88744611627,-0.0018756706122989
3908.15828744504,-0.00192023073144838
3904.42912877381,-0.00205672364334276
3900.69997010259,-0.00238707505434887
3896.97081143136,-0.00245749601246954
3893.24165276013,-0.00180075478801931
3889.51249408891,-0.0014846023139254
3885.78333541768,-0.00217486496820718
3882.05417674646,-0.00265327590579317
3878.32501807523,-0.0025616924736713
3874.595859404,-0.00219344917282104
3870.86670073278,-0.00196522490111847
3867.13754206155,-0.00213479545388806
3863.40838339032,-0.00201098269277318
3859.6792247191,-0.00184480005056007
3855.95006604787,-0.00201698711288027
3852.22090737664,-0.00227140113927663
3848.49174870542,-0.00249338615542663
3844.76259003419,-0.00225399012313855
3841.03343136297,-0.00175571490012712
3837.30427269174,-0.00193308113489996
3833.57511402051,-0.00254695731323796
3829.84595534929,-0.00253649103179118
3826.11679667806,-0.00168831741616123
3822.38763800683,-0.00131605384167769
3818.65847933561,-0.00156632289685682
3814.92932066438,-0.00146907101814589
3811.20016199316,-0.00120528871693778
3807.47100332193,-0.00163360208633786
3803.7418446507,-0.0024579963739586
3800.01268597948,-0.0025990376040809
3796.28352730825,-0.00231450292114041
3792.55436863702,-0.00218729548297523
3788.8252099658,-0.00186397092692599
3785.09605129457,-0.00142637650990986
3781.36689262335,-0.00164984710608356
3777.63773395212,-0.00225377930826801
3773.90857528089,-0.00244615381156348
3770.17941660967,-0.00205448737690492
3766.45025793844,-0.00144876105755285
3762.72109926721,-0.00117689635522628
3758.99194059599,-0.00182624682401339
3755.26278192476,-0.00302229142514024
3751.53362325354,-0.00336415519197619
3747.80446458231,-0.00290638308868962
3744.07530591108,-0.0024618713263012
3740.34614723986,-0.00187273843513582
3736.61698856863,-0.00181503092268182
3732.8878298974,-0.00233737543992055
3729.15867122618,-0.0018789595377611
3725.42951255495,-0.00117232962732488
3721.70035388372,-0.00114311766036285
3717.9711952125,-0.00158660147410637
3714.24203654127,-0.00231099026525752
3710.51287787005,-0.00234885263313205
3706.78371919882,-0.0023710598100336
3703.05456052759,-0.00246837568437983
3699.32540185637,-0.0018234745208796
3695.59624318514,-0.00174818677509892
3691.86708451391,-0.00202512113513139
3688.13792584269,-0.00141962374815576
3684.40876717146,-0.0016383632258959
3680.67960850024,-0.0027459258915195
3676.95044982901,-0.00273530997184387
3673.22129115778,-0.00219142078349898
3669.49213248656,-0.00211082692107229
3665.76297381533,-0.00270582831318618
3662.0338151441,-0.00314367713202451
3658.30465647288,-0.00269091265603043
3654.57549780165,-0.0021377498789238
3650.84633913043,-0.00199145403635423
3647.1171804592,-0.00153033686823367
3643.38802178797,-0.0013540491673123
3639.65886311675,-0.00147327406150176
3635.92970444552,-0.0019205405585494
3632.20054577429,-0.00291680266904892
3628.47138710307,-0.00335608703983165
