Wavenumbercm-1,chloride
4001.3872542257,-0.00152071788132098
3997.65809555447,-0.00125316031149094
3993.92893688324,-0.0013474478756972
3990.19977821202,-0.00139273128826904
3986.47061954079,-0.00113940482999534
3982.74146086956,-0.000966818357814182
3979.01230219834,-0.00120845799465269
3975.28314352711,-0.00160827971512454
3971.55398485589,-0.0014851895049949
3967.82482618466,-0.00126005797311115
3964.09566751343,-0.00159084355464121
3960.36650884221,-0.00198143128593782
3956.63735017098,-0.00195241686852492
3952.90819149975,-0.00178036790050422
3949.17903282853,-0.0016756476705175
3945.4498741573,-0.00154278010182019
3941.72071548608,-0.00149925914754872
3937.99155681485,-0.00150974030869687
3934.26239814362,-0.00146733748959884
3930.5332394724,-0.00161500005484756
3926.80408080117,-0.00178968865611699
3923.07492212994,-0.00182895257770727
3919.34576345872,-0.00170479075874092
3915.61660478749,-0.0012824858318215
3911.88744611627,-0.00107311409874977
3908.15828744504,-0.00143188962571972
3904.42912877381,-0.00170125277801798
3900.69997010259,-0.00198809636018617
3896.97081143136,-0.00213246255955198
3893.24165276013,-0.00160238578399675
3889.51249408891,-0.00129190008213913
3885.78333541768,-0.00174342612345847
3882.05417674646,-0.00205076542390697
3878.32501807523,-0.00183060316572824
3874.595859404,-0.00158076563727489
3870.86670073278,-0.00131350974375212
3867.13754206155,-0.00131850683732891
3863.40838339032,-0.00119920186430041
3859.6792247191,-0.00109726135999234
3855.95006604787,-0.00150604005000857
3852.22090737664,-0.00164530442508318
3848.49174870542,-0.00149849497159373
3844.76259003419,-0.00150376822222303
3841.03343136297,-0.00137407812794213
3837.30427269174,-0.00101059597531668
3833.57511402051,-0.00102664660083057
3829.84595534929,-0.00130605777502524
3826.11679667806,-0.00122220221931737
3822.38763800683,-0.00101650295968975
3818.65847933561,-0.000842942557649391
3814.92932066438,-0.000746058093853558
3811.20016199316,-0.000568109517447863
3807.47100332193,-0.00060042412015259
3803.7418446507,-0.00147746235590678
3800.01268597948,-0.00198772069342888
3796.28352730825,-0.00158548932650175
3792.55436863702,-0.00126907737053095
3788.8252099658,-0.00116986733606139
3785.09605129457,-0.000941460625627126
3781.36689262335,-0.00113538155919
3777.63773395212,-0.00177376686938295
3773.90857528089,-0.00215635324521943
3770.17941660967,-0.001896246762088
3766.45025793844,-0.00105129630820148
3762.72109926721,-0.000612139750847118
3758.99194059599,-0.00131508632173042
3755.26278192476,-0.00195482974199336
3751.53362325354,-0.00161320897414313
3747.80446458231,-0.00123877640952545
3744.07530591108,-0.00114599664932784
3740.34614723986,-0.00095466542102852
3736.61698856863,-0.00119344261670793
3732.8878298974,-0.00189331318523795
3729.15867122618,-0.00155417533174879
3725.42951255495,-0.000450223892794217
3721.70035388372,0.000158749701381477
3717.9711952125,-0.000300976605862901
3714.24203654127,-0.00132812553869042
3710.51287787005,-0.00177325629797831
3706.78371919882,-0.0019794483541092
3703.05456052759,-0.00175540855938087
3699.32540185637,-0.000578194832569979
3695.59624318514,-0.000281916035838593
3691.86708451391,-0.000661214560255705
3688.13792584269,-0.000325415766154351
3684.40876717146,-0.000322710441392532
3680.67960850024,-0.000688645989343629
3676.95044982901,-0.000949040949735337
3673.22129115778,-0.000993125257658073
3669.49213248656,-0.0013473878153748
3665.76297381533,-0.00258977691088873
3662.0338151441,-0.00297008452744693
3658.30465647288,-0.00207777952024396
3654.57549780165,-0.00151881930075953
3650.84633913043,-0.00130920986555492
3647.1171804592,-0.000671869246026502
3643.38802178797,-0.000711341610239242
